output_time,total_wall_time,total_cpu_time, wall time ( 1), CPU time ( 1), cells updated ( 1), wall time ( 2), CPU time ( 2), cells updated ( 2), wall time ( 3), CPU time ( 3), cells updated ( 3),                                                                                                                                                                                                                                                                                                                            
    0.960000E+05,     0.407232E+01,     0.437939E+01,     0.133755E-01,     0.134060E-01,     0.250000E+04,     0.651970E-01,     0.651270E-01,     0.172840E+05,     0.336629E+01,     0.336268E+01,     0.106477E+07
    0.100000E+06,     0.440853E+01,     0.471554E+01,     0.140161E-01,     0.140480E-01,     0.260000E+04,     0.694713E-01,     0.694030E-01,     0.184840E+05,     0.366486E+01,     0.366119E+01,     0.116809E+07
    0.104000E+06,     0.467650E+01,     0.498274E+01,     0.145293E-01,     0.145620E-01,     0.270000E+04,     0.732484E-01,     0.731810E-01,     0.196840E+05,     0.389889E+01,     0.389447E+01,     0.124880E+07
    0.108000E+06,     0.482875E+01,     0.513498E+01,     0.149712E-01,     0.150040E-01,     0.280000E+04,     0.746036E-01,     0.745370E-01,     0.200840E+05,     0.401679E+01,     0.401238E+01,     0.128747E+07
    0.112000E+06,     0.506795E+01,     0.537417E+01,     0.154506E-01,     0.154840E-01,     0.290000E+04,     0.783426E-01,     0.782760E-01,     0.212840E+05,     0.422805E+01,     0.422363E+01,     0.136112E+07
    0.116000E+06,     0.525234E+01,     0.555804E+01,     0.159181E-01,     0.159520E-01,     0.300000E+04,     0.820553E-01,     0.819890E-01,     0.224840E+05,     0.438805E+01,     0.438321E+01,     0.141498E+07
    0.120000E+06,     0.535147E+01,     0.565672E+01,     0.163329E-01,     0.163670E-01,     0.310000E+04,     0.833838E-01,     0.833180E-01,     0.228840E+05,     0.446488E+01,     0.445959E+01,     0.143982E+07
    0.124000E+06,     0.546997E+01,     0.577522E+01,     0.168022E-01,     0.168370E-01,     0.320000E+04,     0.871062E-01,     0.870410E-01,     0.240840E+05,     0.457206E+01,     0.456678E+01,     0.147467E+07
    0.128000E+06,     0.552228E+01,     0.582752E+01,     0.172586E-01,     0.172930E-01,     0.330000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.132000E+06,     0.552367E+01,     0.582892E+01,     0.176926E-01,     0.177270E-01,     0.340000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.136000E+06,     0.552482E+01,     0.583007E+01,     0.181502E-01,     0.181850E-01,     0.350000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.140000E+06,     0.552616E+01,     0.583141E+01,     0.185866E-01,     0.186220E-01,     0.360000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.144000E+06,     0.552776E+01,     0.583301E+01,     0.191387E-01,     0.191750E-01,     0.370000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.148000E+06,     0.552925E+01,     0.583450E+01,     0.196580E-01,     0.196950E-01,     0.380000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.152000E+06,     0.553121E+01,     0.583646E+01,     0.203365E-01,     0.203750E-01,     0.390000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.156000E+06,     0.553318E+01,     0.583842E+01,     0.209896E-01,     0.210300E-01,     0.400000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.160000E+06,     0.553558E+01,     0.584082E+01,     0.217168E-01,     0.217610E-01,     0.410000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.164000E+06,     0.554160E+01,     0.584684E+01,     0.237795E-01,     0.238270E-01,     0.420000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.168000E+06,     0.554705E+01,     0.585229E+01,     0.253085E-01,     0.253630E-01,     0.430000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.172000E+06,     0.555008E+01,     0.585533E+01,     0.264940E-01,     0.265570E-01,     0.440000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.176000E+06,     0.555222E+01,     0.585746E+01,     0.271818E-01,     0.272470E-01,     0.450000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.180000E+06,     0.555446E+01,     0.585970E+01,     0.277821E-01,     0.278490E-01,     0.460000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.184000E+06,     0.555722E+01,     0.586245E+01,     0.284925E-01,     0.285620E-01,     0.470000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.188000E+06,     0.556301E+01,     0.586824E+01,     0.298330E-01,     0.299050E-01,     0.480000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.192000E+06,     0.556754E+01,     0.587279E+01,     0.312669E-01,     0.313440E-01,     0.490000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.196000E+06,     0.557036E+01,     0.587561E+01,     0.320827E-01,     0.321630E-01,     0.500000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
    0.200000E+06,     0.557237E+01,     0.587762E+01,     0.327859E-01,     0.328700E-01,     0.510000E+04,     0.927101E-01,     0.926420E-01,     0.252840E+05,     0.461025E+01,     0.460503E+01,     0.148331E+07
